ID;NumberZ;Shifr;Napr;Prof;Uroven;FormaOb;Fin;Zach;Sogl
6B3181E9-482B-4BAE-9ADE-7201E66DF5BE;1237;15.00.04;Автоматизация технологических процессов и производств;;Бакалавриат;Очная форма;Бюджетные места;0;0
6B3181E9-482B-4BAE-9ADE-7201E66DF5BE;1237;04.00.01;Химия;;Бакалавриат;Очная форма;Бюджетные места;0;0
6B3181E9-482B-4BAE-9ADE-7201E66DF5BE;1237;20.00.01;Техносферная безопасность;;Бакалавриат;Очная форма;Бюджетные места;0;0
6B3181E9-482B-4BAE-9ADE-7201E66DF5BE;1237;20.00.01;Техносферная безопасность;;Бакалавриат;Очная форма;Целевой прием;1;1
DE13E3FA-9127-4C11-9FC4-05B8D2A99140;922;06.00.01;Биология;;Магистратура;Очная форма;Бюджетные места;0;0
6C0BB11E-20C7-4360-AA30-EC67C46F1E1A;1690;15.00.04;Автоматизация технологических процессов и производств;;Бакалавриат;Заочная форма;Бюджетные места;1;1
B871652C-ED6E-4575-910A-AF6AAD2BCF41;1286;04.00.01;Химия;;Бакалавриат;Очная форма;Бюджетные места;1;1
6C0BB11E-20C7-4360-AA30-EC67C46F1E1A;1690;15.00.05;Конструкторско-технологическое обеспечение машиностроительных производств;;Бакалавриат;Заочная форма;Бюджетные места;0;0
B871652C-ED6E-4575-910A-AF6AAD2BCF41;1286;38.00.01;Экономическая безопасность;;Специалитет;Очная форма;С оплатой обучения;0;0
6C0BB11E-20C7-4360-AA30-EC67C46F1E1A;1690;15.00.04;Автоматизация технологических процессов и производств;;Бакалавриат;Заочная форма;С оплатой обучения;0;0
DE13E3FA-9127-4C11-9FC4-05B8D2A99140;922;44.00.02;Психолого-педагогическое образование;;Магистратура;Очная форма;Бюджетные места;0;0
36AA9123-24AA-43FA-95AD-B053795665D6;3176;39.00.02;Социальная работа;Социальная работа с разными группами населения;Магистратура;Очная форма;Бюджетные места;1;1
36AA9123-24AA-43FA-95AD-B053795665D6;3176;39.00.02;Социальная работа;Социальная работа с разными группами населения;Магистратура;Очная форма;С оплатой обучения;0;0
B871652C-ED6E-4575-910A-AF6AAD2BCF41;1286;38.00.04;Государственное и муниципальное управление;;Бакалавриат;Очная форма;С оплатой обучения;0;0
6C0BB11E-20C7-4360-AA30-EC67C46F1E1A;1690;15.00.05;Конструкторско-технологическое обеспечение машиностроительных производств;;Бакалавриат;Заочная форма;С оплатой обучения;0;0
4527E3C6-C9CB-4B7B-9AE3-CEC760BC80CD;892;15.00.04;Автоматизация технологических процессов и производств;;Бакалавриат;Заочная форма;С оплатой обучения;1;1
FB8C7BFC-49AE-4A85-BE2F-831130DAD8D1;175;38.00.05;Бизнес-информатика;;Бакалавриат;Очная форма;Бюджетные места;0;0
