X;Psi;Regions;Industries
0.014308832629857217;0.023662028723770427;Jiangsu;Tex
0.0012732269493530147;0.009274703992958626;Jiangsu;Cloth
0.002548032323245315;0.006618473250815651;Jiangsu;Wood
0.004084204245870446;0.016967008250073627;Jiangsu;Paper
0.004279672126955353;0.013676393475748623;Jiangsu;Fuel
0.029821867024037933;0.08897063866591245;Jiangsu;Chemi
0.008130480604541458;0.014790381501620225;Jiangsu;NonMeP
0.032260701475786274;0.056540186639855744;Jiangsu;MeSme
0.0034553019083715633;0.032683340584255434;Jiangsu;MetaInd
0.007015905727250302;0.034429780550896884;Jiangsu;GnerSep
0.006766458230294248;0.016144677362834505;Jiangsu;TransEq
0.005269530245944275;0.03575690766504286;Jiangsu;Electri
0.0034332450720397003;0.0298614144468833;Jiangsu;Computers
0.0002719456309797229;0.002722241372682833;Jiangsu;Instru
0.002619640659396151;0.00940143113801969;Jiangsu;OtherManu
0.012682499418540438;0.03551344474086664;Jiangsu;ElectriH
0.00016819584184900375;0.0022986580756602193;Jiangsu;WaGaS
-0.00016731865894727374;0.0031782094215505752;Jiangsu;Building
0.005806498831147633;0.02058569506052796;Jiangsu;Trans 
0.0026110474057929036;0.02240805094582288;Jiangsu;Wholes
0.002144375332990374;0.009064615492743587;Jiangsu;Acconm
0.0020474198095394337;0.010072094054360183;Jiangsu;Rental
0.0003223969934989639;0.0015096601616745562;Jiangsu;ScienceTec
0.015174250603896973;0.05324710732053024;Jiangsu;Ohters
0.006635494032752375;0.010246335954580297;Zhejiang;Agri
6.2001633238986075e-06;2.6064762258338416e-05;Zhejiang;CoalM
0.0;0.0;Zhejiang;OilgasM
0.0003170448041136584;0.0005894448217499082;Zhejiang;MetalM
0.0012192514958051354;0.0021229838422579983;Zhejiang;NonMeM
0.004529783904334653;0.009261844684705861;Zhejiang;Food
0.01298130803779126;0.019416428348844095;Zhejiang;Tex
0.00496738226894601;0.014133704457603693;Zhejiang;Cloth
0.0035847693058860012;0.009718586979573942;Zhejiang;Wood
0.006196483728497227;0.016365984430345364;Zhejiang;Paper
0.004650300974085096;0.020457615850217485;Zhejiang;Fuel
0.020584808111423197;0.054633572918875495;Zhejiang;Chemi
0.00858451143813327;0.009748744131260244;Zhejiang;NonMeP
0.013479136091699198;0.021831356308090178;Zhejiang;MeSme
0.004759913624433333;0.021281314365058163;Zhejiang;MetaInd
0.003741040677629732;0.023015043821246764;Zhejiang;GnerSep
0.0021949721708930314;0.011925783925022485;Zhejiang;TransEq
0.007711974734186081;0.023932591648106707;Zhejiang;Electri
0.003098880732325986;0.008414386356583198;Zhejiang;Computers
0.0001892841515731496;0.0027269477502524925;Zhejiang;Instru
0.002619969630752154;0.01016635599515318;Zhejiang;OtherManu
0.012065119677686262;0.023590820693971868;Zhejiang;ElectriH
0.00042172631494285986;0.0021956486963189497;Zhejiang;WaGaS
-7.559584740333717e-05;0.003199180678256828;Zhejiang;Building
0.0040520346383142785;0.017978896267488716;Zhejiang;Trans 
0.005761435763909161;0.02210295780019538;Zhejiang;Wholes
0.0018260586597556052;0.0085964727346303;Zhejiang;Acconm
0.003435246994247961;0.010402835105219152;Zhejiang;Rental
0.00012468354452277664;0.0005687701605509404;Zhejiang;ScienceTec
0.009459127931889053;0.03747523222271563;Zhejiang;Ohters
0.006272273060843783;0.016709138282390203;Anhi;Agri
0.00326133396187146;0.005911416013222642;Anhi;CoalM
0.0;0.0;Anhi;OilgasM
0.00035751697196201033;0.0008741272300511843;Anhi;MetalM
0.00039115204087855827;0.0010277353038858224;Anhi;NonMeM
0.001353960754185595;0.0062461647314736145;Anhi;Food
0.0011929966489704345;0.002371555502253459;Anhi;Tex
0.0003359044663449345;0.001243858928311201;Anhi;Cloth
0.0005324061931758894;0.00206172715478563;Anhi;Wood
0.0010472848392533297;0.0027024864064677427;Anhi;Paper
0.001546715325317415;0.004791453747465923;Anhi;Fuel
0.004212098555415827;0.015785094595997785;Anhi;Chemi
0.0025622003435810986;0.004901726898502737;Anhi;NonMeP
0.009797133890696013;0.01370041817225883;Anhi;MeSme
0.0012001981004795563;0.003105253791060294;Anhi;MetaInd
0.0012276537805071684;0.005498522752161011;Anhi;GnerSep
0.0013083176316336918;0.005915909294372555;Anhi;TransEq
0.0013651526479501962;0.010367767110499236;Anhi;Electri
0.00048730408651877883;0.001455876526571633;Anhi;Computers
0.0001950478369465797;0.0006681065625872278;Anhi;Instru
0.0005730079222852774;0.0022709600363395605;Anhi;OtherManu
0.002833845150171384;0.008089889945926475;Anhi;ElectriH
7.320012985058762e-05;0.0005849984188041576;Anhi;WaGaS
4.916964563078696e-05;0.0006131789917445379;Anhi;Building
0.0023292260063175183;0.011540501775210373;Anhi;Trans 
0.004036763522388533;0.008956437174574644;Anhi;Wholes
0.0005799646981503965;0.0026243128279564796;Anhi;Acconm
0.00080125186902381;0.004895336789696488;Anhi;Rental
9.137551346448833e-05;0.00026282121469410673;Anhi;ScienceTec
0.0026138675432632215;0.008965622338229253;Anhi;Ohters
0.007764949707673711;0.009913279052648105;Fujian;Agri
0.0010942585845588884;0.0010677241974163063;Fujian;CoalM
0.0;0.0;Fujian;OilgasM
0.0008780593590921369;0.0008146484943294209;Fujian;MetalM
0.0006388301869023371;0.0014475767536630665;Fujian;NonMeM
